"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Cikcilli,"2+1",115500.0,100.0,1200.0,195942.31,-80442.31
Mahmutlar,"4+1",210000.0,198.0,800.0,289800.0,-79800.0
Alanya(Center),"1+1",89000.0,50.0,600.0,168298.97,-79298.97
Kestel,"2+1",131500.0,110.0,400.0,210711.54,-79211.54000000001
Kargıcak,"1+1",70000.0,55.0,300.0,149085.94,-79085.94
Alanya(Center),"1+1",89500.0,50.0,700.0,168298.97,-78798.97
Alanya(Center),"3+1",299500.0,185.0,900.0,377776.32,-78276.32
Mahmutlar,"2+1",86000.0,110.0,900.0,164145.71,-78145.70999999999
Oba,"3+1",199500.0,120.0,750.0,277600.0,-78100.0
Tosmur,"2+1",88000.0,98.0,600.0,165903.23,-77903.23000000001
Alanya(Center),"3+1",300000.0,110.0,250.0,377776.32,-77776.32
Alanya(Center),"2+1",126000.0,105.0,600.0,203551.52,-77551.51999999999
Alanya(Center),"2+1",126000.0,100.0,700.0,203551.52,-77551.51999999999
Alanya(Center),"1+1",91000.0,55.0,625.0,168298.97,-77298.97
Oba,"2+1",109000.0,110.0,4000.0,186147.54,-77147.54000000001
Mahmutlar,"2+1",87000.0,110.0,1000.0,164145.71,-77145.70999999999
Mahmutlar,"3+1",189000.0,190.0,800.0,266088.24,-77088.23999999999
Mahmutlar,"2+1",87500.0,110.0,500.0,164145.71,-76645.70999999999
Mahmutlar,"2+1",88000.0,125.0,350.0,164145.71,-76145.70999999999
Mahmutlar,"2+1",88000.0,115.0,300.0,164145.71,-76145.70999999999
Cikcilli,"4+1",226000.0,170.0,1200.0,302000.0,-76000.0
Alanya(Center),"1+1",92500.0,50.0,250.0,168298.97,-75798.97
Alanya(Center),"2+1",128000.0,70.0,700.0,203551.52,-75551.51999999999
Mahmutlar,"2+1",89000.0,100.0,1200.0,164145.71,-75145.70999999999
Oba,"2+1",111500.0,105.0,1200.0,186147.54,-74647.54000000001
Kargıcak,"1+1",75000.0,50.0,300.0,149085.94,-74085.94
Oba,"4+1",220000.0,200.0,600.0,293527.78,-73527.78000000003
Oba,"1+1",59000.0,44.0,2000.0,132396.36,-73396.35999999999
Mahmutlar,"2+1",91000.0,110.0,400.0,164145.71,-73145.70999999999
Mahmutlar,"2+1",91000.0,130.0,450.0,164145.71,-73145.70999999999
